Chper,Last,(Last-AvgLast)/AvgLast,RSI,Vol/AvgVol,MACD,Answer
-0.074,270,0.068,0.594,1.334,-0.108,0
-0.185,265,0.038,0.546,1.296,0.395,0
-0.113,262,0.018,0.519,1.013,0.545,0
0.115,265,0.021,0.544,0.875,0.895,0
0.038,266,0.015,0.552,0.793,1.24,0
0.038,267,0.011,0.56,0.69,1.575,0
0.112,270,0.017,0.585,0.64,2.059,0
-0.037,269,0.007,0.573,0.605,2.335,0
0,269,0.007,0.573,0.621,2.525,0
0.446,281,0.05,0.667,0.943,3.602,1
0.142,285,0.062,0.691,1.107,4.724,0
-0.07,283,0.049,0.665,1.233,5.39,0
-0.035,282,0.038,0.652,1.453,5.77,0
-0.248,275,0.005,0.566,1.514,5.443,0
0.4,286,0.041,0.645,1.278,6.004,0
0.035,287,0.037,0.651,1.103,6.453,0
0.418,299,0.073,0.715,1.111,7.69,0
-0.167,294,0.044,0.661,0.861,8.172,0
0.068,296,0.042,0.671,0.682,8.616,0
-0.338,286,-0.003,0.573,0.641,8.068,0
-0.28,278,-0.032,0.509,0.798,6.909,0
0,278,-0.03,0.509,0.664,5.922,0
0.18,283,-0.011,0.546,0.69,5.48,0
-0.247,276,-0.036,0.491,0.842,4.512,0
-0.072,274,-0.043,0.476,1.008,3.544,0
-0.109,271,-0.049,0.454,1.05,2.506,0
-0.295,263,-0.072,0.4,1.145,1.024,0
0.228,269,-0.039,0.452,1.138,0.331,0
0.223,275,-0.009,0.499,1.149,0.263,0
-0.145,271,-0.016,0.47,1.004,-0.112,0
-0.074,269,-0.018,0.456,0.821,-0.564,0
0.037,270,-0.011,0.465,0.675,-0.832,0
-0.074,268,-0.015,0.449,0.661,-1.193,0
-0.112,265,-0.021,0.426,0.61,-1.701,0
-0.34,256,-0.05,0.366,0.937,-2.797,0
-0.117,253,-0.055,0.348,1.245,-3.863,0
-0.119,250,-0.06,0.331,1.23,-4.894,0
0.28,257,-0.029,0.405,1.383,-5.088,0
-0.195,252,-0.043,0.373,1.407,-5.58,0
-0.437,241,-0.077,0.315,1.278,-6.78,0
-0.373,232,-0.101,0.276,1.12,-8.361,0
-0.517,220,-0.135,0.235,1.215,-10.462,0
0.182,224,-0.102,0.274,1.414,-11.668,0
0.446,234,-0.045,0.361,1.322,-11.684,0
